تاریخ,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۲۰۰۵-۰۱-۰۱,۱۸.۰,۱۰.۷,۲۰.۰
۲۰۰۵-۰۱-۰۲,۱۸.۰,۹.۵,۰.۰
۲۰۰۵-۰۱-۰۳,۱۷.۷,۹.۲,۰.۰
۲۰۰۵-۰۱-۰۴,۱۷.۳,۸.۳,۰.۰
۲۰۰۵-۰۱-۰۵,۱۷.۷,۸.۶,۰.۰
۲۰۰۵-۰۱-۰۶,۱۸.۱,۸.۳,۰.۰
۲۰۰۵-۰۱-۰۷,۱۹.۰,۸.۳,۰.۰
۲۰۰۵-۰۱-۰۸,۲۰.۲,۱۰.۴,۰.۰
۲۰۰۵-۰۱-۰۹,۲۰.۷,۱۰.۵,
۲۰۰۵-۰۱-۱۰,۲۰.۳,۱۰.۲,۰.۰
۲۰۰۵-۰۱-۱۱,۲۰.۰,۹.۰,۰.۰
۲۰۰۵-۰۱-۱۲,۱۸.۶,۷.۰,۰.۰
۲۰۰۵-۰۱-۱۳,۱۹.۷,۷.۵,۰.۰
۲۰۰۵-۰۱-۱۴,۲۰.۵,۸.۶,۰.۰
۲۰۰۵-۰۱-۱۵,۲۰.۴,۸.۴,۰.۰
۲۰۰۵-۰۱-۱۶,۲۰.۱,۶.۹,۰.۰
۲۰۰۵-۰۱-۱۷,۱۹.۰,۷.۰,۰.۰
۲۰۰۵-۰۱-۱۸,۱۸.۸,۷.۲,
۲۰۰۵-۰۱-۱۹,۱۸.۸,۷.۰,۰.۰
۲۰۰۵-۰۱-۲۰,۱۹.۰,۷.۲,۰.۰
۲۰۰۵-۰۱-۲۱,۱۸.۶,۸.۰,۰.۰
۲۰۰۵-۰۱-۲۲,۱۴.۳,۹.۰,۷.۳
۲۰۰۵-۰۱-۲۳,۱۱.۶,۸.۶,۸.۷
۲۰۰۵-۰۱-۲۴,۱۳.۳,۸.۸,۰.۰
۲۰۰۵-۰۱-۲۵,۱۴.۷,۷.۳,
۲۰۰۵-۰۱-۲۶,۱۷.۷,۸.۰,۰.۰
۲۰۰۵-۰۱-۲۷,۱۸.۷,۹.۳,۰.۲
۲۰۰۵-۰۱-۲۸,۱۵.۸,۸.۹,۲۸.۰
۲۰۰۵-۰۱-۲۹,۱۶.۴,۷.۲,۰.۰
۲۰۰۵-۰۱-۳۰,۱۷.۵,۷.۵,۰.۰
۲۰۰۵-۰۱-۳۱,۱۹.۲,۸.۰,۰.۰
۲۰۰۵-۰۲-۰۱,۱۹.۰,۸.۷,۰.۰
۲۰۰۵-۰۲-۰۲,۲۰.۲,۸.۶,۰.۰
۲۰۰۵-۰۲-۰۳,۱۹.۵,۹.۵,۰.۰
۲۰۰۵-۰۲-۰۴,۲۰.۹,۱۱.۱,۰.۰
۲۰۰۵-۰۲-۰۵,۲۰.۳,۱۱.۴,۰.۷
۲۰۰۵-۰۲-۰۶,۱۸.۵,۱۲.۵,
۲۰۰۵-۰۲-۰۷,۱۶.۵,۱۳.۰,۴.۴
۲۰۰۵-۰۲-۰۸,۱۵.۲,۱۳.۳,۰.۲
۲۰۰۵-۰۲-۰۹,۱۷.۷,۱۴.۳,۳.۳
۲۰۰۵-۰۲-۱۰,۱۵.۱,۱۲.۰,۱۶.۵
۲۰۰۵-۰۲-۱۱,۱۶.۲,۱۲.۵,۸.۸
۲۰۰۵-۰۲-۱۲,۲۲.۰,۱۳.۸,۰.۰
۲۰۰۵-۰۲-۱۳,۲۱.۷,۱۴.۲,۰.۰
۲۰۰۵-۰۲-۱۴,۱۹.۷,۱۴.۲,۰.۰
۲۰۰۵-۰۲-۱۵,۲۱.۰,۱۲.۸,۳.۶
۲۰۰۵-۰۲-۱۶,۱۴.۲,۷.۵,۷.۰
۲۰۰۵-۰۲-۱۷,۱۷.۵,۷.۴,۰.۰
۲۰۰۵-۰۲-۱۸,۱۸.۷,۱۰.۲,۲.۲
۲۰۰۵-۰۲-۱۹,۱۷.۲,۷.۸,۸.۹
۲۰۰۵-۰۲-۲۰,۱۵.۶,۶.۵,۰.۰
۲۰۰۵-۰۲-۲۱,۱۶.۲,۶.۷,۰.۰
۲۰۰۵-۰۲-۲۲,۱۷.۵,۷.۸,۰.۰
۲۰۰۵-۰۲-۲۳,۲۰.۴,۸.۲,۰.۰
۲۰۰۵-۰۲-۲۴,۱۹.۶,۱۲.۳,
۲۰۰۵-۰۲-۲۵,۲۲.۲,۱۲.۴,۰.۰
۲۰۰۵-۰۲-۲۶,۲۲.۳,۱۲.۶,۰.۰
۲۰۰۵-۰۲-۲۷,۲۳.۶,۱۳.۸,۰.۰
۲۰۰۵-۰۲-۲۸,۲۱.۶,۱۴.۵,
۲۰۰۵-۰۳-۰۱,۲۳.۲,۱۵.۰,
۲۰۰۵-۰۳-۰۲,۲۱.۸,۱۴.۶,
۲۰۰۵-۰۳-۰۳,۲۱.۴,۱۵.۰,۰.۳
۲۰۰۵-۰۳-۰۴,۲۶.۹,۱۵.۵,۰.۰
۲۰۰۵-۰۳-۰۵,۲۷.۵,۱۶.۰,۱.۰
۲۰۰۵-۰۳-۰۶,۲۴.۱,۱۴.۵,
۲۰۰۵-۰۳-۰۷,۲۶.۲,۱۵.۳,۰.۰
۲۰۰۵-۰۳-۰۸,۲۶.۷,۱۷.۰,۰.۰
۲۰۰۵-۰۳-۰۹,۲۸.۲,۱۸.۴,۰.۰
۲۰۰۵-۰۳-۱۰,۲۲.۰,۱۵.۸,۱.۰
