تاریخ,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۲۰۰۵-۰۱-۰۱,۱۵.۰,۱۰.۰,۴۲.۰
۲۰۰۵-۰۱-۰۲,۱۶.۰,۷.۰,۰.۰
۲۰۰۵-۰۱-۰۳,۱۷.۰,۷.۴,۰.۰
۲۰۰۵-۰۱-۰۴,۱۸.۰,۷.۰,۰.۰
۲۰۰۵-۰۱-۰۵,۱۷.۵,۶.۰,۰.۰
۲۰۰۵-۰۱-۰۶,۱۹.۵,۶.۰,۰.۰
۲۰۰۵-۰۱-۰۷,۲۰.۰,۶.۰,۰.۰
۲۰۰۵-۰۱-۰۸,۲۰.۵,۵.۵,۰.۰
۲۰۰۵-۰۱-۰۹,۲۱.۰,۵.۵,۰.۰
۲۰۰۵-۰۱-۱۰,۲۱.۰,۶.۵,۰.۰
۲۰۰۵-۰۱-۱۱,۲۱.۰,۴.۵,۰.۰
۲۰۰۵-۰۱-۱۲,۱۸.۰,۴.۵,۰.۰
۲۰۰۵-۰۱-۱۳,۱۹.۰,۵.۰,۰.۰
۲۰۰۵-۰۱-۱۴,۱۷.۵,۵.۵,۰.۰
۲۰۰۵-۰۱-۱۵,۲۱.۰,۴.۵,۰.۰
۲۰۰۵-۰۱-۱۶,۲۰.۵,۴.۰,۰.۰
۲۰۰۵-۰۱-۱۷,۲۰.۰,۴.۰,۰.۰
۲۰۰۵-۰۱-۱۸,۱۹.۵,۴.۰,۰.۰
۲۰۰۵-۰۱-۱۹,۱۹.۰,۴.۰,۰.۰
۲۰۰۵-۰۱-۲۰,۱۹.۵,۳.۵,۰.۰
۲۰۰۵-۰۱-۲۱,۱۹.۰,۳.۹,۰.۰
۲۰۰۵-۰۱-۲۲,۱۱.۰,۶.۹,۱۷.۰
۲۰۰۵-۰۱-۲۳,۱۰.۵,۲.۵,۱۶.۰
۲۰۰۵-۰۱-۲۴,۱۵.۰,۳.۴,۰.۰
۲۰۰۵-۰۱-۲۵,۱۵.۵,۳.۵,۰.۰
۲۰۰۵-۰۱-۲۶,۱۸.۰,۴.۵,۰.۰
۲۰۰۵-۰۱-۲۷,۱۸.۵,۵.۹,۳.۰
۲۰۰۵-۰۱-۲۸,۱۳.۵,۷.۰,۲.۰
۲۰۰۵-۰۱-۲۹,۱۳.۵,۴.۵,۰.۰
۲۰۰۵-۰۱-۳۰,۱۸.۰,۳.۵,۰.۰
۲۰۰۵-۰۱-۳۱,۱۸.۵,۳.۵,۰.۰
۲۰۰۵-۰۲-۰۱,۱۹.۵,۳.۵,۰.۰
۲۰۰۵-۰۲-۰۲,۲۰.۵,۳.۵,۰.۰
۲۰۰۵-۰۲-۰۳,۲۰.۵,۳.۹,۰.۰
۲۰۰۵-۰۲-۰۴,۲۰.۰,۸.۵,۰.۰
۲۰۰۵-۰۲-۰۵,۲۰.۰,۱۰.۴,۱.۰
۲۰۰۵-۰۲-۰۶,۱۶.۵,۱۱.۰,۰.۰
۲۰۰۵-۰۲-۰۷,۱۳.۵,۱۰.۵,۶.۰
۲۰۰۵-۰۲-۰۸,۱۶.۵,۱۰.۵,۰.۰
۲۰۰۵-۰۲-۰۹,۱۶.۰,۱۱.۹,۳.۰
۲۰۰۵-۰۲-۱۰,۱۶.۵,۱۰.۵,۳.۰
۲۰۰۵-۰۲-۱۱,۱۴.۰,۱۱.۴,۱۴.۰
۲۰۰۵-۰۲-۱۲,۱۸.۵,۸.۵,۰.۰
۲۰۰۵-۰۲-۱۳,۱۹.۵,۹.۴,۰.۰
۲۰۰۵-۰۲-۱۴,۱۹.۵,۱۱.۴,۰.۰
۲۰۰۵-۰۲-۱۵,۲۲.۵,۹.۵,۹.۰
۲۰۰۵-۰۲-۱۶,۱۴.۵,۶.۰,۶.۰
۲۰۰۵-۰۲-۱۷,۱۸.۰,۶.۵,۰.۰
۲۰۰۵-۰۲-۱۸,۱۷.۰,۵.۵,۰.۰
۲۰۰۵-۰۲-۱۹,۱۶.۰,۶.۰,۱۴.۰
۲۰۰۵-۰۲-۲۰,۱۴.۵,۴.۵,۰.۰
۲۰۰۵-۰۲-۲۱,۱۵.۰,۳.۵,۰.۰
۲۰۰۵-۰۲-۲۲,۱۷.۰,۴.۰,۰.۰
۲۰۰۵-۰۲-۲۳,۲۲.۵,۵.۴,۰.۰
۲۰۰۵-۰۲-۲۴,۱۸.۵,۱۰.۴,۰.۰
۲۰۰۵-۰۲-۲۵,۲۳.۰,۷.۵,۰.۰
۲۰۰۵-۰۲-۲۶,۲۴.۰,۸.۵,۰.۰
۲۰۰۵-۰۲-۲۷,۲۴.۵,۹.۴,۰.۰
۲۰۰۵-۰۲-۲۸,۲۲.۰,۱۰.۰,۰.۰
۲۰۰۵-۰۳-۰۱,۲۳.۵,۱۲.۴,۰.۰
۲۰۰۵-۰۳-۰۲,۲۳.۵,۱۱.۵,۰.۰
۲۰۰۵-۰۳-۰۳,۱۹.۵,۱۲.۹,۰.۰
۲۰۰۵-۰۳-۰۴,۲۵.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۰۵,۲۷.۵,۱۳.۵,۰.۰
۲۰۰۵-۰۳-۰۶,۲۴.۵,۱۳.۰,۳.۰
۲۰۰۵-۰۳-۰۷,۲۵.۰,۱۳.۵,۰.۰
۲۰۰۵-۰۳-۰۸,۲۷.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۰۹,۲۷.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۱۰,۲۲.۵,۱۳.۵,۰.۰
۲۰۰۵-۰۳-۱۱,۲۳.۰,۱۲.۰,۰.۰
۲۰۰۵-۰۳-۱۲,۲۷.۰,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۱۳,۲۸.۵,۱۴.۰,۰.۰
۲۰۰۵-۰۳-۱۴,۳۰.۰,۱۷.۰,۰.۰
۲۰۰۵-۰۳-۱۵,۲۹.۰,۱۷.۵,۰.۰
۲۰۰۵-۰۳-۱۶,۳۰.۰,۱۹.۹,۰.۰
۲۰۰۵-۰۳-۱۷,۳۱.۰,۲۰.۵,۳.۰
۲۰۰۵-۰۳-۱۸,۲۲.۵,۱۷.۰,۶.۰
۲۰۰۵-۰۳-۱۹,۲۵.۰,۱۶.۰,۳۱.۰
۲۰۰۵-۰۳-۲۰,۲۵.۰,۱۶.۵,۰.۰
۲۰۰۵-۰۳-۲۱,۲۵.۵,۱۵.۵,۳۵.۰
۲۰۰۵-۰۳-۲۲,۲۰.۵,۱۴.۰,۱۷.۰
۲۰۰۵-۰۳-۲۳,۲۲.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۲۴,۲۶.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۲۵,۲۷.۵,۱۵.۰,۰.۰
۲۰۰۵-۰۳-۲۶,۲۲.۵,۱۵.۵,۰.۰
۲۰۰۵-۰۳-۲۷,۲۷.۵,۱۶.۵,۰.۰
۲۰۰۵-۰۳-۲۸,۲۹.۰,۱۵.۵,۰.۰
۲۰۰۵-۰۳-۲۹,۲۸.۵,۱۵.۰,۰.۰
۲۰۰۵-۰۳-۳۰,۲۸.۵,۱۴.۰,۰.۰
۲۰۰۵-۰۳-۳۱,۲۹.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۴-۰۱,۳۱.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۴-۰۲,۳۲.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۴-۰۳,۳۳.۰,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۰۴,۳۵.۰,۱۷.۵,۰.۰
۲۰۰۵-۰۴-۰۵,۳۵.۵,۱۹.۵,۰.۰
۲۰۰۵-۰۴-۰۶,۳۶.۵,۲۰.۰,۰.۰
۲۰۰۵-۰۴-۰۷,۳۳.۵,۲۰.۵,۰.۰
۲۰۰۵-۰۴-۰۸,۳۰.۵,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۰۹,۲۷.۰,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۱۰,۲۷.۵,۱۴.۵,۰.۰
۲۰۰۵-۰۴-۱۱,۲۸.۵,۱۲.۵,۰.۰
۲۰۰۵-۰۴-۱۲,۳۱.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۴-۱۳,۳۲.۰,۱۶.۰,۰.۰
۲۰۰۵-۰۴-۱۴,۳۴.۵,۱۹.۵,۰.۰
۲۰۰۵-۰۴-۱۵,۳۲.۵,۱۷.۰,۰.۰
۲۰۰۵-۰۴-۱۶,۳۴.۵,۱۷.۵,۰.۰
۲۰۰۵-۰۴-۱۷,۳۵.۰,۱۸.۰,۰.۰
۲۰۰۵-۰۴-۱۸,۳۶.۵,۱۷.۵,۰.۰
۲۰۰۵-۰۴-۱۹,۳۸.۰,۱۷.۵,۰.۰
۲۰۰۵-۰۴-۲۰,۳۸.۵,۲۰.۵,۰.۰
۲۰۰۵-۰۴-۲۱,۳۶.۵,۲۱.۵,۰.۰
