تاریخ,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۲۰۰۵-۰۱-۰۱,۱۸.۰,۱۰.۰,۱۸.۰
۲۰۰۵-۰۱-۰۲,۱۷.۲,۶.۵,۰.۰
۲۰۰۵-۰۱-۰۳,۱۷.۳,۷.۰,۰.۰
۲۰۰۵-۰۱-۰۴,۱۷.۳,۶.۰,۰.۰
۲۰۰۵-۰۱-۰۵,۱۷.۵,۴.۰,۰.۰
۲۰۰۵-۰۱-۰۶,۱۸.۵,۵.۵,۰.۰
۲۰۰۵-۰۱-۰۷,۱۹.۰,۴.۰,۰.۰
۲۰۰۵-۰۱-۰۸,۲۰.۲,۵.۰,۰.۰
۲۰۰۵-۰۱-۰۹,۲۱.۰,۵.۸,۰.۰
۲۰۰۵-۰۱-۱۰,۲۰.۵,۶.۰,۰.۰
۲۰۰۵-۰۱-۱۱,۲۰.۵,۵.۰,۰.۰
۲۰۰۵-۰۱-۱۲,۱۹.۵,۲.۵,۰.۰
۲۰۰۵-۰۱-۱۳,۲۱.۰,۴.۵,۰.۰
۲۰۰۵-۰۱-۱۴,۱۹.۵,۵.۵,۰.۰
۲۰۰۵-۰۱-۱۵,۱۹.۵,۳.۵,۰.۰
۲۰۰۵-۰۱-۱۶,۲۰.۵,۲.۵,۰.۰
۲۰۰۵-۰۱-۱۷,۲۰.۵,۲.۷,۰.۰
۲۰۰۵-۰۱-۱۸,۱۹.۵,۲.۷,۰.۰
۲۰۰۵-۰۱-۱۹,۲۰.۰,۳.۰,۰.۰
۲۰۰۵-۰۱-۲۰,۱۹.۵,۲.۵,۰.۰
۲۰۰۵-۰۱-۲۱,۱۹.۵,۹.۷,۲.۳
۲۰۰۵-۰۱-۲۲,۱۱.۴,۴.۰,۰.۰
۲۰۰۵-۰۱-۲۳,۱۳.۰,۱.۲,۰.۰
۲۰۰۵-۰۱-۲۴,۱۳.۰,۱.۹,۰.۰
۲۰۰۵-۰۱-۲۵,۱۶.۵,۲.۵,۰.۰
۲۰۰۵-۰۱-۲۶,۱۸.۰,۲.۷,۰.۰
۲۰۰۵-۰۱-۲۷,۱۹.۰,۵.۰,۰.۰
۲۰۰۵-۰۱-۲۸,۱۳.۰,۶.۸,۶.۰
۲۰۰۵-۰۱-۲۹,۱۳.۰,۳.۵,۰.۰
۲۰۰۵-۰۱-۳۰,۱۷.۰,۲.۵,۰.۰
۲۰۰۵-۰۱-۳۱,۱۹.۰,۲.۵,۰.۰
۲۰۰۵-۰۲-۰۱,۱۹.۰,۲.۲,۰.۰
۲۰۰۵-۰۲-۰۲,۲۰.۰,۲.۸,۰.۰
۲۰۰۵-۰۲-۰۳,۲۰.۵,۵.۵,۰.۰
۲۰۰۵-۰۲-۰۴,۲۱.۰,۸.۸,۰.۰
۲۰۰۵-۰۲-۰۵,۲۰.۰,۹.۵,۱.۴
۲۰۰۵-۰۲-۰۶,۱۸.۵,۱۰.۰,۰.۰
۲۰۰۵-۰۲-۰۷,۱۵.۵,۹.۵,۹.۰
۲۰۰۵-۰۲-۰۸,۱۵.۵,۱۰.۹,۰.۰
۲۰۰۵-۰۲-۰۹,۱۵.۵,۱۳.۰,۲.۰
۲۰۰۵-۰۲-۱۰,۱۸.۰,۱۱.۰,۸.۶
۲۰۰۵-۰۲-۱۱,۱۶.۰,۱۲.۰,۱۰.۹
۲۰۰۵-۰۲-۱۲,۲۱.۳,۱۰.۵,۰.۰
۲۰۰۵-۰۲-۱۳,۱۹.۵,۱۱.۵,۰.۰
۲۰۰۵-۰۲-۱۴,۲۰.۵,۱۲.۰,۰.۰
۲۰۰۵-۰۲-۱۵,۲۰.۵,۱۱.۵,۶.۰
۲۰۰۵-۰۲-۱۶,۱۵.۰,۷.۰,۳.۵
۲۰۰۵-۰۲-۱۷,۱۹.۰,۶.۳,۰.۰
۲۰۰۵-۰۲-۱۸,۱۸.۵,۶.۰,۰.۰
۲۰۰۵-۰۲-۱۹,۱۵.۵,۴.۵,۰.۰
۲۰۰۵-۰۲-۲۰,۱۶.۰,۳.۵,۰.۰
۲۰۰۵-۰۲-۲۱,۱۶.۰,۲.۵,۰.۰
۲۰۰۵-۰۲-۲۲,۱۵.۵,۳.۰,۰.۰
۲۰۰۵-۰۲-۲۳,۲۱.۵,۵.۴,۰.۰
۲۰۰۵-۰۲-۲۴,۱۹.۰,۹.۹,۰.۰
۲۰۰۵-۰۲-۲۵,۲۲.۳,۷.۷,۰.۰
۲۰۰۵-۰۲-۲۶,۲۳.۵,۸.۰,۰.۰
۲۰۰۵-۰۲-۲۷,۲۴.۵,۹.۵,۰.۰
۲۰۰۵-۰۲-۲۸,۲۲.۵,۱۱.۵,۱.۰
۲۰۰۵-۰۳-۰۱,۲۳.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۰۲,۲۱.۰,۱۱.۵,۱.۰
۲۰۰۵-۰۳-۰۳,۲۰.۵,۱۲.۹,۳.۰
۲۰۰۵-۰۳-۰۴,۲۴.۵,۱۳.۵,۰.۰
۲۰۰۵-۰۳-۰۵,۲۶.۲,۱۲.۵,۰.۰
۲۰۰۵-۰۳-۰۶,۲۷.۴,۱۱.۰,۰.۰
۲۰۰۵-۰۳-۰۷,۲۵.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۰۸,۲۷.۲,۱۴.۰,۰.۰
۲۰۰۵-۰۳-۰۹,۲۶.۵,۱۵.۷,۰.۰
۲۰۰۵-۰۳-۱۰,۲۲.۵,۱۳.۵,۷۴.۰
۲۰۰۵-۰۳-۱۱,۲۲.۵,۱۱.۵,۰.۰
۲۰۰۵-۰۳-۱۲,۲۴.۵,۱۲.۵,۰.۰
۲۰۰۵-۰۳-۱۳,۲۸.۰,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۱۴,۲۹.۵,۱۵.۹,۰.۰
۲۰۰۵-۰۳-۱۵,۲۸.۵,۱۷.۵,۰.۰
۲۰۰۵-۰۳-۱۶,۳۰.۳,۱۸.۵,۰.۰
۲۰۰۵-۰۳-۱۷,۲۹.۵,۲۰.۰,۰.۰
۲۰۰۵-۰۳-۱۸,۲۴.۵,۱۷.۵,۱۲.۲
۲۰۰۵-۰۳-۱۹,۲۵.۰,۱۶.۵,۰.۰
۲۰۰۵-۰۳-۲۰,۲.۵,۱۶.۵,۰.۰
۲۰۰۵-۰۳-۲۱,۲۷.۵,۱۶.۵,۱.۰
۲۰۰۵-۰۳-۲۲,۲۳.۵,۱۴.۵,۲۱.۰
۲۰۰۵-۰۳-۲۳,۲۱.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۳-۲۴,۲۴.۵,۱۳.۵,۰.۰
۲۰۰۵-۰۳-۲۵,۲۶.۵,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۲۶,۲۶.۵,۱۴.۲,۰.۰
۲۰۰۵-۰۳-۲۷,۲۷.۵,۱۶.۵,۰.۰
۲۰۰۵-۰۳-۲۸,۲۹.۵,۱۶.۰,۰.۰
۲۰۰۵-۰۳-۲۹,۲۹.۵,۱۴.۵,۰.۰
۲۰۰۵-۰۳-۳۰,۲۹.۵,۱۴.۱,۰.۰
۲۰۰۵-۰۳-۳۱,۲۹.۰,۱۱.۷,۰.۰
۲۰۰۵-۰۴-۰۱,۳۰.۵,۱۳.۰,۰.۰
۲۰۰۵-۰۴-۰۲,۳۲.۰,۱۳.۵,۰.۰
۲۰۰۵-۰۴-۰۳,۳۴.۵,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۰۴,۳۴.۵,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۰۵,۳۵.۵,۱۷.۲,۰.۰
۲۰۰۵-۰۴-۰۶,۳۷.۳,۱۷.۰,۰.۰
۲۰۰۵-۰۴-۰۷,۳۵.۰,۱۸.۵,۰.۰
۲۰۰۵-۰۴-۰۸,۳۱.۰,۱۴.۰,۰.۰
۲۰۰۵-۰۴-۰۹,۲۷.۰,۱۳.۰,۰.۰
۲۰۰۵-۰۴-۱۰,۲۷.۲,۱۳.۰,۰.۰
۲۰۰۵-۰۴-۱۱,۲۸.۰,۱۳.۵,۰.۰
۲۰۰۵-۰۴-۱۲,۳۰.۰,۱۲.۵,۰.۰
۲۰۰۵-۰۴-۱۳,۳۲.۰,۱۶.۰,۰.۰
۲۰۰۵-۰۴-۱۴,۳۵.۰,۱۶.۵,۰.۰
۲۰۰۵-۰۴-۱۵,۳۳.۰,۱۵.۵,۰.۰
۲۰۰۵-۰۴-۱۶,۳۴.۰,۱۶.۰,۰.۰
۲۰۰۵-۰۴-۱۷,۳۴.۵,۱۷.۰,۰.۰
۲۰۰۵-۰۴-۱۸,۳۶.۵,۱۶.۰,۰.۰
۲۰۰۵-۰۴-۱۹,۳۷.۰,۱۶.۵,۰.۰
۲۰۰۵-۰۴-۲۰,۳۸.۰,۱۹.۵,۰.۰
۲۰۰۵-۰۴-۲۱,۳۸.۰,۲۱.۰,۰.۰
۲۰۰۵-۰۴-۲۲,۳۸.۰,۲۳.۴,۰.۰
۲۰۰۵-۰۴-۲۳,۳۸.۰,۲۳.۰,۰.۰
۲۰۰۵-۰۴-۲۴,۳۸.۰,۲۱.۰,۰.۰
۲۰۰۵-۰۴-۲۵,۳۳.۵,۲۰.۰,۰.۰
۲۰۰۵-۰۴-۲۶,۲۹.۲,۱۶.۵,۶.۲
۲۰۰۵-۰۴-۲۷,۳۲.۰,۱۷.۵,۰.۰
۲۰۰۵-۰۴-۲۸,۳۰.۰,۱۶.۵,۰.۰
۲۰۰۵-۰۴-۲۹,۳۲.۰,۱۸.۰,۰.۰
۲۰۰۵-۰۴-۳۰,۳۶.۰,۲۰.۰,۰.۰
۲۰۰۵-۰۵-۰۱,۳۷.۰,۲۱.۵,۰.۰
۲۰۰۵-۰۵-۰۲,۳۳.۵,۲۳.۰,۰.۰
۲۰۰۵-۰۵-۰۳,۳۱.۵,۲۰.۵,۰.۰
۲۰۰۵-۰۵-۰۴,۲۹.۰,۱۹.۵,۰.۰
۲۰۰۵-۰۵-۰۵,۳۲.۵,۲۰.۵,۰.۰
۲۰۰۵-۰۵-۰۶,۳۵.۵,۲۳.۰,۰.۰
۲۰۰۵-۰۵-۰۷,۳۴.۶,۲۳.۲,۰.۰
۲۰۰۵-۰۵-۰۸,۳۸.۰,۱۹.۵,۲۳.۴
۲۰۰۵-۰۵-۰۹,۳۳.۰,۱۹.۰,۰.۰
۲۰۰۵-۰۵-۱۰,۳۳.۵,۱۸.۵,۰.۰
۲۰۰۵-۰۵-۱۱,۳۵.۲,۱۹.۰,۰.۰
۲۰۰۵-۰۵-۱۲,۳۸.۰,۲۰.۵,۰.۰
۲۰۰۵-۰۵-۱۳,۳۹.۰,۲۵.۵,۰.۰
۲۰۰۵-۰۵-۱۴,۳۸.۰,۲۱.۵,۰.۰
۲۰۰۵-۰۵-۱۵,۳۸.۰,۲۱.۰,۰.۰
۲۰۰۵-۰۵-۱۶,۴۰.۰,۲۶.۵,۰.۰
۲۰۰۵-۰۵-۱۷,۴۱.۰,۲۳.۰,۰.۰
۲۰۰۵-۰۵-۱۸,۴۰.۰,۲۶.۵,۰.۰
۲۰۰۵-۰۵-۱۹,۳۸.۰,۲۶.۰,۰.۰
۲۰۰۵-۰۵-۲۰,۳۹.۰,۲۴.۰,۰.۰
۲۰۰۵-۰۵-۲۱,۳۸.۵,۲۴.۵,۰.۰
۲۰۰۵-۰۵-۲۲,۳۷.۰,۲۲.۰,۰.۰
۲۰۰۵-۰۵-۲۳,۳۸.۰,۲۲.۲,۰.۰
۲۰۰۵-۰۵-۲۴,۳۸.۰,۲۳.۳,۰.۰
۲۰۰۵-۰۵-۲۵,۳۹.۰,۲۲.۰,۰.۰
۲۰۰۵-۰۵-۲۶,۳۹.۵,۲۳.۵,۰.۰
۲۰۰۵-۰۵-۲۷,۳۷.۵,۲۲.۰,۰.۰
۲۰۰۵-۰۵-۲۸,۳۹.۰,۲۴.۵,۰.۰
۲۰۰۵-۰۵-۲۹,۳۸.۰,۲۶.۵,۰.۰
۲۰۰۵-۰۵-۳۰,۳۳.۵,۲۱.۱,۰.۰
۲۰۰۵-۰۵-۳۱,۳۷.۰,۲۴.۰,۰.۰
۲۰۰۵-۰۶-۰۱,۳۹.۰,۲۳.۰,۰.۰
۲۰۰۵-۰۶-۰۲,۴۱.۰,۲۵.۰,۰.۰
۲۰۰۵-۰۶-۰۳,۴۲.۵,۲۵.۰,۰.۰
۲۰۰۵-۰۶-۰۴,۴۳.۲,۲۶.۰,۰.۰
۲۰۰۵-۰۶-۰۵,۴۴.۵,۲۷.۳,۰.۰
