تاریخ,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۲۰۰۵-۰۱-۰۱,۱۶.۲,۷.۸,۳۰.۹
۲۰۰۵-۰۱-۰۲,۱۶.۰,۵.۵,۰.۰
۲۰۰۵-۰۱-۰۳,۱۶.۷,۵.۷,۰.۰
۲۰۰۵-۰۱-۰۴,۱۸.۵,۶.۲,۰.۰
۲۰۰۵-۰۱-۰۵,۱۹.۲,۶.۲,۰.۰
۲۰۰۵-۰۱-۰۶,۲۰.۲,۵.۵,۰.۰
۲۰۰۵-۰۱-۰۷,۲۰.۲,۵.۹,۰.۰
۲۰۰۵-۰۱-۰۸,۲۱.۵,۶.۶,۰.۰
۲۰۰۵-۰۱-۰۹,۲۲.۵,۱۰.۰,۰.۰
۲۰۰۵-۰۱-۱۰,۲۲.۲,۵.۶,۰.۰
۲۰۰۵-۰۱-۱۱,۲۱.۸,۶.۵,۰.۰
۲۰۰۵-۰۱-۱۲,۲۳.۰,۵.۵,۰.۰
۲۰۰۵-۰۱-۱۳,۲۱.۲,۵.۷,۰.۰
۲۰۰۵-۰۱-۱۴,۲۱.۸,۶.۵,۰.۰
۲۰۰۵-۰۱-۱۵,۲۰.۸,۴.۰,۰.۰
۲۰۰۵-۰۱-۱۶,۲۱.۵,۳.۸,۰.۰
۲۰۰۵-۰۱-۱۷,۲۱.۰,۳.۵,۰.۰
۲۰۰۵-۰۱-۱۸,۲۱.۰,۴.۳,۰.۰
۲۰۰۵-۰۱-۱۹,۱۹.۲,۳.۵,۰.۰
۲۰۰۵-۰۱-۲۰,۲۱.۰,۳.۸,۰.۰
۲۰۰۵-۰۱-۲۱,۱۶.۵,۶.۱,۵.۲
۲۰۰۵-۰۱-۲۲,۱۴.۴,۷.۵,۰.۸
۲۰۰۵-۰۱-۲۳,۱۴.۸,۳.۰,۰.۰
۲۰۰۵-۰۱-۲۴,۱۴.۳,۳.۰,۰.۰
۲۰۰۵-۰۱-۲۵,۱۶.۲,۴.۵,۰.۰
۲۰۰۵-۰۱-۲۶,۱۷.۵,۴.۸,۰.۰
۲۰۰۵-۰۱-۲۷,۱۹.۵,۵.۸,۱.۰
۲۰۰۵-۰۱-۲۸,۱۸.۵,۴.۸,۰.۰
۲۰۰۵-۰۱-۲۹,۱۶.۸,۳.۵,۰.۰
۲۰۰۵-۰۱-۳۰,۱۸.۵,۲.۳,۰.۰
۲۰۰۵-۰۱-۳۱,۱۹.۵,۲.۵,۰.۰
۲۰۰۵-۰۲-۰۱,۲۰.۵,۳.۵,۰.۰
۲۰۰۵-۰۲-۰۲,۲۱.۵,۴.۵,۰.۰
۲۰۰۵-۰۲-۰۳,۲۱.۳,۵.۴,۰.۰
۲۰۰۵-۰۲-۰۴,۲۲.۴,۶.۳,۰.۰
۲۰۰۵-۰۲-۰۵,۲۱.۶,۷.۵,۰.۰
۲۰۰۵-۰۲-۰۶,۱۶.۲,۱۰.۵,۵.۰
۲۰۰۵-۰۲-۰۷,۱۳.۳,۹.۸,۶.۸
۲۰۰۵-۰۲-۰۸,۱۴.۵,۷.۷,۰.۳
۲۰۰۵-۰۲-۰۹,۱۶.۲,۱۰.۰,۱۷.۱
۲۰۰۵-۰۲-۱۰,۱۷.۸,۱۰.۷,۴.۶
۲۰۰۵-۰۲-۱۱,۱۳.۰,۱۱.۸,۱۱.۶
۲۰۰۵-۰۲-۱۲,۱۸.۸,۱۱.۸,۰.۰
۲۰۰۵-۰۲-۱۳,۱۹.۶,۱۲.۰,۰.۰
۲۰۰۵-۰۲-۱۴,۱۹.۰,۱۳.۰,۰.۰
۲۰۰۵-۰۲-۱۵,۱۹.۵,۱۴.۳,۰.۰
۲۰۰۵-۰۲-۱۶,۲۱.۵,۱۰.۰,۰.۰
۲۰۰۵-۰۲-۱۷,۲۱.۳,۹.۸,۰.۰
۲۰۰۵-۰۲-۱۸,۱۸.۰,۸.۴,۰.۰
۲۰۰۵-۰۲-۱۹,۱۵.۵,۲.۸,۰.۰
۲۰۰۵-۰۲-۲۰,۱۶.۵,۳.۱,۰.۰
۲۰۰۵-۰۲-۲۱,۱۸.۰,۳.۵,۰.۰
۲۰۰۵-۰۲-۲۲,۱۹.۵,۵.۰,۰.۰
۲۰۰۵-۰۲-۲۳,۲۲.۰,۹.۵,۰.۰
۲۰۰۵-۰۲-۲۴,۲۱.۵,۱۱.۵,
۲۰۰۵-۰۲-۲۵,۲۳.۴,۱۱.۱,
۲۰۰۵-۰۲-۲۶,۲۴.۳,۱۱.۰,
۲۰۰۵-۰۲-۲۷,۲۵.۰,۱۱.۷,
